dzlabel,lalabel,rank
S01007463,Clackmannanshire,137
S01007343,Argyll and Bute,3568
S01007464,Clackmannanshire,609
S01007344,Argyll and Bute,2515
S01007465,Clackmannanshire,13
S01007345,Argyll and Bute,917
S01007466,Clackmannanshire,348
S01007346,Argyll and Bute,444
S01007467,Clackmannanshire,2176
S01007347,Argyll and Bute,1578
S01007468,Clackmannanshire,4973
S01007348,Argyll and Bute,2379
S01007469,Clackmannanshire,2022
S01007349,Argyll and Bute,2250
S01007470,Clackmannanshire,1081
S01007350,Argyll and Bute,1458
S01007471,Clackmannanshire,2001
S01007351,Argyll and Bute,3414
S01007472,Clackmannanshire,1961
S01007352,Argyll and Bute,3393
S01007473,Clackmannanshire,964
